source_url,name,pk_unique_id,mongo DB,specialties,procedure,equipment,capability,organization_type,content_table_id,phone_numbers,email,websites,officialWebsite,yearEstablished,acceptsVolunteers,facebookLink,twitterLink,linkedinLink,instagramLink,logo,address_line1,address_line2,address_line3,address_city,address_stateOrRegion,address_zipOrPostcode,address_country,address_countryCode,countries,missionStatement,missionStatementLink,organizationDescription,facilityTypeId,operatorTypeId,affiliationTypeIds,description,area,numberDoctors,capacity,unique_id,lat,lon,location_query,osm_display_name,method_used_for_geocoding,resolved_location_query
https://www.linkedin.com/company/waaf/,"109/No 1 Bekwai Rd (Near Mexico Hotel) Takoradi, Ghana",1,62aa51490990af00169ab9ed,"[""infectiousDiseases"",""maternalFetalMedicineOrPerinatology"",""publicHealth"",""socialAndBehavioralSciences"",""hospiceAndPalliativeInternalMedicine"",""globalHealthAndInternationalHealth""]",,,"[""Has a location at 109/No 1 Bekwai Rd (Near Mexico Hotel) Takoradi, Ghana"",""Specialties include HIV, AIDS, PMTCT, Behavior Change Communication, HIV Testing and Counseling, Community Outreach, Stigma Reduction, Hospice / Home Based Care, global health, and public health""]",facility,a77400f4-6203-4b0d-84ad-fd143bd768e3,"[""+233249354576"",""+233203928883""]",,"[""waafweb.org""]",waafweb.org,,,,,,,,109/No 1 Bekwai Rd (Near Mexico Hotel),,,Takoradi,,,Ghana,GH,,,,,clinic,,,"WAAF is committed to battling HIV/AIDS, TB, and other conditions through grassroot initiatives throughout communities. The main objectives for WAAF are to deliver prevention, behavioral, care and support services for the general population but with emphasis on vulnerable populations. Our ultimate goal is a future where HIV and AIDS is no longer an epidemic, and people are no longer stigmatized. The organization’s vision and mission guide for daily and long-term operations, as detailed in the organization’s strategic plan document.",,,,7d362eaa-8130-410a-bf23-7be549177af0,4.887401,-1.7519316,"Takoradi, Ghana","Takoradi, Sekondi Takoradi Metropolitan District, Western Region, Ghana",llm,"Takoradi, Ghana"
https://www.ghanabusinessweb.com/accra-adabraka-health_clinics-iran_clinic-9430.html,1st Foundation Clinic,2,,"[""internalMedicine""]",[],[],"[""Located in Dansoman, Accra, Ghana, opposite Standard Chartered Bank"",""Listed as a related place on GhanaBusinessWeb's Iran Clinic page""]",facility,cd191c26-2987-404f-b5bb-7dfe6d7a7b02,,,,,,,,,,,,Opp. Standard Chartered Bank,,,Dansoman,,,Ghana,GH,,,,,clinic,,,,,,,9d70e24f-247c-41af-b708-cc10e99e54b1,5.5468112,-0.2656595,"Dansoman, Ghana","Dansoman, Accra, Ablekuma West Municipal District, Greater Accra Region, Ghana",llm,"Dansoman, Ghana"
https://www.ghanabusinessweb.com/accra-cantonments-str_0-kumoji_hospital-9464.html,1st Foundation Clinic,2,,"[""internalMedicine""]",[],[],[],facility,6cc7060e-63f3-4e20-b83c-483ac1c3206e,,,,,,,,,,,,"Opp. Standard Chartered Bank, Dansoman",,,Accra,,,Ghana,GH,,,,,clinic,,,,,,,97d11408-8303-44c3-83c2-72cb91c58fb1,5.5468112,-0.2656595,"Dansoman, Ghana","Dansoman, Accra, Ablekuma West Municipal District, Greater Accra Region, Ghana",rule_based,"Dansoman, Ghana"
https://www.ghanabusinessweb.com/accra-dansoman-hospitals-karikari_brobbey_hospital-9444.html,1st Foundation Clinic,2,,"[""internalMedicine""]",[],[],[],facility,2d84a935-452c-441c-a766-8fcbb8b4e7ea,,,,,,,,,,,,Opp. Standard Chartered Bank,Dansoman,,Accra,,,Ghana,GH,,,,,clinic,,,,,,,4c17951e-87e0-4472-8cf4-189cea9782b8,5.5468112,-0.2656595,"Dansoman, Ghana","Dansoman, Accra, Ablekuma West Municipal District, Greater Accra Region, Ghana",rule_based,"Dansoman, Ghana"
https://www.ghanabusinessweb.com/accra-osu-health_clinics-gak_clinic-9409.html,1st Foundation Clinic,2,,"[""internalMedicine""]",,,,facility,78038e2e-3210-4a0b-a502-ad0f8aabbb38,,,,,,,,,,,,Opp. Standard Chartered Bank,Dansoman,,Accra,,,Ghana,GH,,,,,clinic,,,,,,,a6ec226d-a88e-4366-b390-5c709ef54e92,5.5468112,-0.2656595,"Dansoman, Ghana","Dansoman, Accra, Ablekuma West Municipal District, Greater Accra Region, Ghana",rule_based,"Dansoman, Ghana"
https://www.ghanayello.com/company/54942/2BN_Military_Hospital,2BN Military Hospital,3,627575867a35920016fe144c,"[""internalMedicine"",""dentistry"",""emergencyMedicine""]",[],[],[],facility,48ccdd4b-0aa8-4725-b796-69ae10f7de02,,,,,,,,,,,,,,,Apremdo,Western,,Ghana,GH,,,,,hospital,,,"2BN Military Hospital is a quasi-government hospital in Western, Apremdo Ghana.",,,,8944be75-1ef2-49f7-84a9-763dc4000c7b,4.9105021,-1.7932516,"Apremdo, Western, Ghana","Total Apremdo, Kwame Nkrumah Boulevard, Kwesimintsim, Effia Kwesimintsim Municipal District, Western Region, Ghana",rule_based,"Apremdo, Western, Ghana"
https://www.ghanabusinessweb.com/accra-cantonments-str_0-kumoji_hospital-9464.html,37 Military Hospital,4,5ea3146e994ecc38cda4ec80,"[""internalMedicine""]",[],[],"[""Located at Liberation Rd. 37, Accra, Ghana""]",facility,6cc7060e-63f3-4e20-b83c-483ac1c3206e,,,,,,,,,,,,Liberation Rd. 37,,,Accra,,,Ghana,GH,,,,,hospital,,,,,,,3fef3d66-36d4-4c8c-b132-209d75eb28c5,5.602668,-0.1782658,"Liberation Rd. 37, Ghana","Liberation Road, Airport City, Accra, La-Dade-Kotopon Municipal District, Greater Accra Region, Ghana",rule_based,"Liberation Rd. 37, Ghana"
https://www.ghanabusinessweb.com/accra-osu-health_clinics-gak_clinic-9409.html,37 Military Hospital,4,5ea3146e994ecc38cda4ec80,"[""internalMedicine""]",,,,facility,78038e2e-3210-4a0b-a502-ad0f8aabbb38,,,,,,,,,,,,Liberation Rd. 37,,,Accra,,,Ghana,GH,,,,,hospital,,,,,,,f9d8de8a-10e1-4101-afad-6c0917fc0233,5.602668,-0.1782658,"Liberation Rd. 37, Ghana","Liberation Road, Airport City, Accra, La-Dade-Kotopon Municipal District, Greater Accra Region, Ghana",rule_based,"Liberation Rd. 37, Ghana"
https://www.facebook.com/792273274467144,"3E Medical Center - Accra, Ghana",5,,"[""internalMedicine""]",,,"[""Located in Accra, Ghana"",""Always open"",""Phone: +233 53 438 2738"",""Email: 3emedicalcenter@gmail.com"",""Website: http://www.3emedicalcenter.org""]",facility,3b255914-59e7-4732-96ae-ee7648044fb5,"[""+233534382738""]",3emedicalcenter@gmail.com,"[""3emedicalcenter.org""]",3emedicalcenter.org,,,,,,,,,,,Accra,,,Ghana,GH,,,,,,,,A health care institution providing patient treatment with specialized medical and nursing staff.,,,,438f3e65-d688-4db6-bc9f-0d2f6edbafe6,5.5571096,-0.2012376,"Accra, Ghana","Accra, Korle-Klottey Municipal District, Greater Accra Region, Ghana",rule_based,"Accra, Ghana"
https://www.facebook.com/109478213867037,3Way Family Care Clinic,6,,"[""internalMedicine""]",[],[],[],facility,80209593-a49b-4c34-bbb3-086e50223ae1,"[""+233551236606""]",,,,,,,,,,,"Behind Cuzi Soap Training Centre, Krofrom Light Industrial Area","Acherensua, Asutifi South","Acherensua, Ghana",Acherensua,Asutifi South,,Ghana,GH,,,,,clinic,,,,,,,d9051330-1480-4c71-a0ba-365d0d586e40,6.9321581,-2.3552189,"Ghana, Asutifi South, Ghana","Hwidiem Post Office, Nana Appea Dwaa Street, Hwidiem, Asutifi South District, Ahafo Region, HR0007, Ghana",rule_based,"Ghana, Asutifi South, Ghana"
